"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"dagster-io/dagster","https://github.com/dagster-io/dagster","apache/airflow","https://github.com/apache/airflow","apache","Python","45254","mlops","1","1296.6","True","0.4583","0","1","0.7663","1","1","1","topic:data-engineering language:Python stars:>=50 | orchestration language:Python stars:>=50 | topic:mlops stars:>=100","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"dagster-io/dagster","https://github.com/dagster-io/dagster","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19174","mlops","2","1102.94","True","0.2069","0","1","0.9527","1","1","1","topic:data-engineering language:Python stars:>=50 | orchestration language:Python stars:>=50 | topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"dagster-io/dagster","https://github.com/dagster-io/dagster","mage-ai/mage-ai","https://github.com/mage-ai/mage-ai","mage-ai","Python","8709","mlops","3","1095.59","True","0.2692","0","1","0.8759","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | orchestration language:Python stars:>=50","🧙 Build, run, and manage data pipelines for integrating and transforming data."
"dagster-io/dagster","https://github.com/dagster-io/dagster","PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22290","mlops","4","1048.51","True","0.2083","0","1","0.92","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | orchestration language:Python stars:>=50","Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
"dagster-io/dagster","https://github.com/dagster-io/dagster","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","5","1016.39","True","0.1905","0","1","0.8283","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"dagster-io/dagster","https://github.com/dagster-io/dagster","mlrun/mlrun","https://github.com/mlrun/mlrun","mlrun","Python","1666","mlops","6","965.45","True","0.25","0","1","0.5169","1","1","0.3333","topic:data-engineering language:Python stars:>=50","MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications."
"dagster-io/dagster","https://github.com/dagster-io/dagster","great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","great-expectations","Python","11458","mlops","7","948.08","True","0.0938","0","1","0.9355","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","Always know what to expect from your data."
"dagster-io/dagster","https://github.com/dagster-io/dagster","AlexIoannides/pyspark-example-project","https://github.com/AlexIoannides/pyspark-example-project","AlexIoannides","Python","2097","mlops","8","938.66","True","0.2105","0","1","0.5668","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Implementing best practices for PySpark ETL jobs and applications."
"dagster-io/dagster","https://github.com/dagster-io/dagster","gabledata/recap","https://github.com/gabledata/recap","gabledata","Python","351","mlops","9","931.35","True","0.2778","0","1","0.1792","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Work with your web service, database, and streaming schemas in a single format."
"dagster-io/dagster","https://github.com/dagster-io/dagster","vmware/versatile-data-kit","https://github.com/vmware/versatile-data-kit","vmware","Python","481","mlops","10","929.5","True","0.2069","0","1","0.2474","1","1","0.6667","topic:analytics language:Python stars:>=50 | topic:data-engineering language:Python stars:>=50","One framework to develop, deploy and operate data workflows with Python and SQL."
"dagster-io/dagster","https://github.com/dagster-io/dagster","airbytehq/airbyte","https://github.com/airbytehq/airbyte","airbytehq","Python","21169","mlops","11","929.1","True","0.129","0","1","0.9313","1","1","0.3333","topic:data-engineering language:Python stars:>=50","The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted."
"dagster-io/dagster","https://github.com/dagster-io/dagster","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","mlops","12","897.38","False","0.0952","0","1","0.9238","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"dagster-io/dagster","https://github.com/dagster-io/dagster","microsoft/agent-framework","https://github.com/microsoft/agent-framework","microsoft","Python","10042","mlops","13","886.95","False","0.087","0","1","0.9068","1","1","0.3333","orchestration language:Python stars:>=50","A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET."
"dagster-io/dagster","https://github.com/dagster-io/dagster","Tautulli/Tautulli","https://github.com/Tautulli/Tautulli","Tautulli","Python","6464","mlops","14","873.77","False","0.0909","0","1","0.8112","1","1","0.3333","topic:analytics language:Python stars:>=50","A Python based monitoring and tracking tool for Plex Media Server."
"dagster-io/dagster","https://github.com/dagster-io/dagster","PostHog/posthog","https://github.com/PostHog/posthog","PostHog","Python","34241","mlops","15","858.98","False","0.0714","0","1","0.8268","1","1","0.3333","topic:analytics language:Python stars:>=50","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack."
"dagster-io/dagster","https://github.com/dagster-io/dagster","ActivityWatch/activitywatch","https://github.com/ActivityWatch/activitywatch","ActivityWatch","Python","17428","mlops","16","854.97","False","0.0385","0","1","0.9735","1","1","0.3333","topic:analytics language:Python stars:>=50","The best free and open-source automated time tracker. Cross-platform, extensible, privacy-focused."
"dagster-io/dagster","https://github.com/dagster-io/dagster","pyper-dev/pyper","https://github.com/pyper-dev/pyper","pyper-dev","Python","1525","mlops","17","854.48","False","0.1304","0","1","0.4977","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Concurrent Python made simple"
"dagster-io/dagster","https://github.com/dagster-io/dagster","quixio/quix-streams","https://github.com/quixio/quix-streams","quixio","Python","1546","mlops","18","841.46","False","0.1154","0","1","0.5006","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Python Streaming DataFrames for Kafka"
"dagster-io/dagster","https://github.com/dagster-io/dagster","Maciek-roboblog/Claude-Code-Usage-Monitor","https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor","Maciek-roboblog","Python","7883","mlops","19","838.63","False","0.0435","0","1","0.8543","1","1","0.3333","topic:analytics language:Python stars:>=50","Real-time Claude Code usage monitor with predictions and warnings"
"dagster-io/dagster","https://github.com/dagster-io/dagster","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1507","mlops","20","821.02","False","0.0938","0","1","0.4951","1","1","0.3333","topic:data-engineering language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
"dagster-io/dagster","https://github.com/dagster-io/dagster","wshobson/agents","https://github.com/wshobson/agents","wshobson","Python","34643","mlops","21","820.72","False","0.0294","0","1","0.8243","1","1","0.3333","orchestration language:Python stars:>=50","Intelligent automation and multi-agent orchestration for Claude Code"
"dagster-io/dagster","https://github.com/dagster-io/dagster","infobyte/faraday","https://github.com/infobyte/faraday","infobyte","Python","6462","mlops","22","818.41","False","0.0294","0","1","0.8111","1","1","0.3333","orchestration language:Python stars:>=50","Open Source Vulnerability Management Platform"
"dagster-io/dagster","https://github.com/dagster-io/dagster","temporalio/sdk-python","https://github.com/temporalio/sdk-python","temporalio","Python","1056","mlops","23","817.87","False","0.1053","0","1","0.4179","1","1","0.3333","orchestration language:Python stars:>=50","Temporal Python SDK"
"dagster-io/dagster","https://github.com/dagster-io/dagster","openai/swarm","https://github.com/openai/swarm","openai","Python","21420","mlops","24","812.52","False","0","0","1","0.9287","1","1","0.3333","orchestration language:Python stars:>=50","Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team."
