"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","nlp","1","1057.79","True","0.2222","0","1","0.9016","1","1","0.6667","nlp language:Python stars:>=50 | topic:nlp stars:>=100","NLTK Source"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36293","nlp","2","1007.62","True","0.1667","0","1","0.9007","1","1","0.6667","nlp language:Python stars:>=50 | topic:nlp stars:>=100","Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","Maluuba/nlg-eval","https://github.com/Maluuba/nlg-eval","Maluuba","Python","1394","nlp","3","965.45","True","0.15","0.0952","1","0.3917","1","1","0.6667","topic:dialogue language:Python stars:>=50 | topic:machine-translation language:Python stars:>=50","Evaluation code for various unsupervised automated metrics for Natural Language Generation."
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","budzianowski/multiwoz","https://github.com/budzianowski/multiwoz","budzianowski","Python","944","nlp","4","949.2","True","0.2727","0","1","0.3071","1","1","0.3333","topic:dialogue language:Python stars:>=50","Source code for end-to-end dialogue model from the MultiWOZ paper (Budzianowski et al. 2018, EMNLP)"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","jasonwu0731/trade-dst","https://github.com/jasonwu0731/trade-dst","jasonwu0731","Python","394","nlp","5","920.6","True","0.3333","0","1","0.1177","0.6","1","0.3333","topic:dialogue language:Python stars:>=50","Source code for transferable dialogue state generator (TRADE, Wu et al., 2019). https://arxiv.org/abs/1905.08743 "
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","sloria/TextBlob","https://github.com/sloria/TextBlob","sloria","Python","9518","nlp","6","881.52","False","0.1","0","1","0.8087","1","1","0.3333","nlp language:Python stars:>=50","Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation, and more."
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","flairNLP/flair","https://github.com/flairNLP/flair","flairNLP","Python","14373","deep-learning","7","877.64","False","0.2727","0","1","0.8982","1","0","0.6667","nlp language:Python stars:>=50 | topic:nlp stars:>=100","A very simple framework for state-of-the-art Natural Language Processing (NLP)"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","shawnwun/NNDIAL","https://github.com/shawnwun/NNDIAL","shawnwun","Python","352","nlp","8","874.02","False","0.2308","0","1","0.0933","1","1","0.3333","topic:dialogue language:Python stars:>=50","NNDial is an open source toolkit for building end-to-end trainable task-oriented dialogue models. It is released by Tsung-Hsien (Shawn) Wen from Cambridge Dialogue Systems Group under Apache License 2.0."
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","thammegowda/mtdata","https://github.com/thammegowda/mtdata","thammegowda","Python","163","nlp","9","830","False","0.2","0","1","0","1","1","0.3333","topic:machine-translation language:Python stars:>=50","A tool that locates, downloads, and extracts machine translation corpora"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","DA-southampton/NLP_ability","https://github.com/DA-southampton/NLP_ability","DA-southampton","Python","7490","nlp","10","828.85","False","0","0.0714","1","0.7567","1","1","0.3333","nlp language:Python stars:>=50","总结梳理自然语言处理工程师(NLP)需要积累的各方面知识，包括面试题，各种基础知识，工程能力等等，提升核心竞争力"
